FID,STATE,COUNTY_NAME,FOREST_ACREAGE
9001,CT,Fairfield,139749
9003,CT,Hartford,141743
9005,CT,Litchfield,360350
9007,CT,Middlesex,113045
9009,CT,New Haven,139700
9011,CT,New London,168726
9013,CT,Tolland,140911
9015,CT,Windham,162523
25003,MA,Berkshire,378517
25005,MA,Bristol,81059
25009,MA,Essex,88988
25011,MA,Franklin,286927
25013,MA,Hampden,230826
25015,MA,Hampshire,175571
25017,MA,Middlesex,147191
25021,MA,Norfolk,46600
25023,MA,Plymouth,112135
25027,MA,Worcester,470571
36001,NY,Albany,151229
36021,NY,Columbia,151027
36025,NY,Delaware,671745
36027,NY,Dutchess,210800
36039,NY,Greene,304317
36071,NY,Orange,153240
36079,NY,Putnam,52589
36083,NY,Rensselaer,205334
36095,NY,Schoharie,192717
36105,NY,Sullivan,392566
36111,NY,Ulster,480655
36119,NY,Westchester,90739
